0,1,2,3,4,5,6,7,8,9
256,0,0,1,0,0,1,0,0,0
0,249,1,0,0,0,0,2,2,4
0,2,254,0,0,0,0,2,0,0
0,0,0,255,0,2,0,0,1,0
1,2,0,0,249,0,0,0,0,6
0,0,0,3,0,253,0,0,1,1
0,0,0,0,0,2,253,0,3,0
0,4,0,0,0,0,0,253,0,1
0,0,0,1,1,3,2,0,250,1
0,1,0,1,2,2,0,3,0,249
