mean_test_score,mean_train_score,std_test_score,std_train_score,param_C,mean_fit_time
0.887,1.0,0.007860277220977237,0.0,1,0.8479290803273519
0.887,1.0,0.007860277220977237,0.0,10,0.8097826639811198
0.887,1.0,0.007860277220977237,0.0,100,0.8148986498514811
0.887,1.0,0.007860277220977237,0.0,1000,0.8012426694234213
0.887,1.0,0.007860277220977237,0.0,10000,0.8036835193634033
0.887,1.0,0.007860277220977237,0.0,1000000,0.7157777945200602
