in_sample_acc,validation_acc
0.9566421775261954,0.9450867052023122
0.9810911718655908,0.9701348747591522
0.9821751174274359,0.9725433526011561
0.9898831747561122,0.9763969171483622
0.9887992291942671,0.9754335260115607
0.9892809827773094,0.9715799614643545
0.9918101890882813,0.970616570327553
0.9869926532578586,0.970616570327553
0.9968686017102252,0.9797687861271677
0.990244489943394,0.9730250481695568
0.9981934240635915,0.9802504816955684
0.9959050945441407,0.9797687861271677
0.9928941346501264,0.9763969171483622
0.9936167650246899,0.9759152215799615
0.9990364928339155,0.9797687861271677
0.9978321088763098,0.9792870905587668
0.9950620257738166,0.976878612716763
0.9992773696254366,0.9816955684007708
0.9979525472720704,0.9792870905587668
0.9961459713356619,0.9754335260115607
0.9951824641695772,0.9720616570327553
0.9956642177526195,0.9725433526011561
0.9978321088763098,0.9783236994219653
0.9967481633144647,0.9763969171483622
0.9993978080211972,0.9783236994219653
0.9993978080211972,0.9763969171483622
0.9980729856678309,0.9763969171483622
0.9978321088763098,0.9730250481695568
0.9992773696254366,0.976878612716763
0.9980729856678309,0.9773603082851637
