in_sample_acc,validation_acc
0.8977478019992774,0.8868015414258189
0.9249668794411658,0.9123314065510597
0.9368902806214621,0.9171483622350675
0.950861134529688,0.9272639691714836
0.9551969167770685,0.9359344894026975
0.960375767794773,0.9340077071290944
0.9662772491870408,0.9311175337186898
0.9618210285438998,0.9373795761078998
0.9696495242683367,0.9407514450867052
0.9710947850174636,0.9383429672447013
0.977116704805492,0.9436416184971098
0.9778393351800554,0.9446050096339114
0.9765145128266891,0.9383429672447013
0.9763940744309286,0.9455684007707129
0.980488979886788,0.9460500963391136
0.9838612549680839,0.9455684007707129
0.9802481030952668,0.9470134874759152
0.9839816933638444,0.9455684007707129
0.9826568710104782,0.947495183044316
0.9844634469468867,0.9527938342967245
0.9853065157172106,0.9465317919075145
0.9850656389256895,0.9513487475915221
0.9859087076960135,0.9494219653179191
0.9844634469468867,0.9513487475915221
0.9879561604239432,0.953757225433526
0.9856678309044924,0.9494219653179191
0.9880765988197037,0.9499036608863198
0.987715283632422,0.9489402697495183
0.9897627363603517,0.9499036608863198
0.9862700228832952,0.9489402697495183
