Mean test score,Mean train score,Std test score,Std train score,Mean fit time,C,coef0
0.81150,0.82875,0.01045,0.00283,3.56894,1,0.01
0.83700,0.85799,0.01232,0.00363,3.24117,1,0.1
0.88450,0.90950,0.00232,0.00159,2.05945,1,1
0.89550,0.99875,0.00829,0.00036,1.14035,1,100
0.89600,0.94250,0.00161,0.00192,1.84792,10,0.01
0.89650,1.00000,0.00886,0.00000,1.25458,100,100
0.89650,1.00000,0.00886,0.00000,1.17636,10,100
0.89650,1.00000,0.00886,0.00000,1.13333,1000,100
0.89750,0.99900,0.00863,0.00071,1.15666,10,10
0.89800,1.00000,0.01008,0.00000,1.21176,1000,10
0.89800,1.00000,0.01008,0.00000,1.28467,100,10
0.89850,0.95275,0.00101,0.00238,1.66416,10,0.1
0.90350,0.99975,0.00458,0.00035,1.24254,100,1
0.90450,0.97376,0.00523,0.00423,1.24957,1,10
0.90500,1.00000,0.00519,0.00000,1.21962,1000,1
0.90900,0.98001,0.00524,0.00344,1.20117,10,1
0.91300,1.00000,0.00746,0.00000,1.30837,1000,0.1
0.91350,1.00000,0.01001,0.00000,1.36092,1000,0.01
0.91600,0.99800,0.00955,0.00035,1.42658,100,0.1
0.91800,0.99675,0.01508,0.00094,1.35816,100,0.01
