Mean test score,Mean train score,Std test score,Std train score,Mean fit time,C
0.89950,1.00000,0.00511,0.00000,1.28566,1
0.89950,1.00000,0.00511,0.00000,1.22599,10
0.89950,1.00000,0.00511,0.00000,1.13007,100
0.89950,1.00000,0.00511,0.00000,1.01215,1000
0.89950,1.00000,0.00511,0.00000,0.96395,10000
0.89950,1.00000,0.00511,0.00000,0.74594,1000000
