0,1,2,3,4,5,6,7,8,9
242,0,3,0,1,3,3,0,5,1
0,214,11,2,8,1,0,1,8,13
0,7,228,2,0,0,4,6,10,1
0,4,4,220,0,11,1,6,7,5
0,3,0,0,227,2,3,5,2,16
1,0,1,4,1,226,4,3,16,2
5,2,1,0,8,3,235,0,4,0
0,2,4,0,0,1,0,238,4,9
1,2,7,1,1,10,2,3,228,3
0,11,0,8,16,6,1,6,6,204
