0,1,2,3,4,5,6,7,8,9
254,0,0,0,0,1,2,0,0,1
0,230,3,0,1,2,0,3,8,11
0,10,225,1,0,1,2,4,11,4
0,1,4,228,0,5,1,4,8,7
0,1,0,0,224,4,2,3,2,22
1,0,1,5,1,225,5,1,13,6
4,1,1,0,0,3,246,0,3,0
0,4,1,0,0,1,0,239,5,8
5,2,5,1,1,6,0,1,232,5
1,10,0,2,6,1,0,3,6,229
