0,1,2,3,4,5,6,7,8,9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999,0.9918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.999,0.9937,0.9937,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.9942,0.9981,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9981,0.9961,0.9986,0.9933,0.9981,0.0,0.0,0.0,0.0,0.0
0.9961,0.9986,1.0,1.0,1.0,0.9923,0.0,0.0,0.0,0.0
1.0,0.9976,0.9957,0.9966,0.9937,0.999,1.0,0.0,0.0,0.0
0.9981,0.9865,0.9889,0.9928,0.9976,0.9817,0.9952,0.9966,0.0,0.0
0.9981,0.9836,0.9961,0.9889,0.9562,0.9937,1.0,0.9855,0.9904,0.0
