0,1,2,3,4,5,6,7,8,9
252,0,1,1,0,0,3,0,0,1
0,239,3,0,1,1,0,2,4,8
0,15,231,1,0,0,3,4,2,2
0,6,5,231,0,1,1,3,3,8
1,3,0,0,221,4,4,5,1,19
4,4,1,7,1,214,8,1,12,6
1,2,1,0,0,3,248,0,3,0
0,6,2,1,0,1,0,239,3,6
4,12,11,5,0,4,3,2,213,4
1,15,0,4,5,0,0,3,5,225
