Alg.,Time,Ein,Etest
Batch Gradient Descent,0.21923023398267105,0.9826589595375722,0.9844961240310077
Mini Batch Gradient Descent,1.5811686769884545,0.9971098265895953,0.9844961240310077
Scipy Optimize,5.001633401989238,0.9980732177263969,0.9825581395348837
